"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SEPT7",2.89774731385561e-15,-1.40802646718464,0.189,0.511,9.71846494120895e-11,"6","SEPT7"
"ANXA5.3",2.22282725150879e-14,1.5003374542213,0.549,0.337,7.45491803611019e-10,"6","ANXA5"
"NKTR.2",2.73760459525418e-14,-2.17430868652746,0.08,0.372,9.18137829156346e-10,"6","NKTR"
"TIMP2.1",3.61978542484678e-14,1.38695136470669,0.371,0.153,1.21400363578511e-09,"6","TIMP2"
"NAGK",3.80039617400685e-14,2.29395098278247,0.269,0.093,1.27457686883842e-09,"6","NAGK"
"AKNA.4",3.99158310888446e-14,-2.09560986179534,0.074,0.366,1.33869714305767e-09,"6","AKNA"
"CTSW.6",4.04771118380988e-14,-5.23507628888365,0.011,0.272,1.35752137682616e-09,"6","CTSW"
"PBXIP1.4",4.19137649576232e-14,-5.04461258000504,0.011,0.271,1.40570384914877e-09,"6","PBXIP1"
"CD83.1",5.20794359248804e-14,1.35949996857218,0.4,0.186,1.74664012204864e-09,"6","CD83"
"GCC2.1",5.71583860628556e-14,-2.95646431007046,0.057,0.329,1.91697795177605e-09,"6","GCC2"
"CD3G.6",5.72425165784374e-14,-5.34603546488443,0.011,0.268,1.91979952100763e-09,"6","CD3G"
"EIF4A2",9.40458733774123e-14,-1.11468850069032,0.28,0.6,3.15411050133165e-09,"6","EIF4A2"
"IKZF1.4",9.7798932964021e-14,-1.98759379255707,0.091,0.376,3.27998061374734e-09,"6","IKZF1"
"IDS.2",1.00273873080404e-13,-1.98559288419382,0.126,0.406,3.36298515537058e-09,"6","IDS"
"S100A11.1",1.16779441950457e-13,1.16857913983247,0.686,0.497,3.91654892413441e-09,"6","S100A11"
"CLEC2D.5",1.1987993637109e-13,-3.01041189155805,0.051,0.321,4.02053330601362e-09,"6","CLEC2D"
"APOE.1",1.40648873761036e-13,1.96772607722383,0.309,0.119,4.71708192819762e-09,"6","APOE"
"NSD3.1",1.49258805371697e-13,-1.85124279874092,0.051,0.327,5.00584181455598e-09,"6","NSD3"
"ARID4B.1",1.77761857749477e-13,-1.75207346593445,0.109,0.397,5.96177718520196e-09,"6","ARID4B"
"PPT1",1.8267813159089e-13,2.34582947636739,0.257,0.092,6.12665917729526e-09,"6","PPT1"
"SARAF.3",2.1902669435977e-13,-1.23426898169783,0.434,0.676,7.34571727543796e-09,"6","SARAF"
"CD96.5",2.3315165458805e-13,-5.16725692656652,0.006,0.253,7.81944019157402e-09,"6","CD96"
"ITK.4",2.45553078521337e-13,-5.64407223127692,0.006,0.251,8.23535914744861e-09,"6","ITK"
"ASAH1",3.32914439415646e-13,1.66656953384146,0.406,0.2,1.11652844691219e-08,"6","ASAH1"
"DDX24.1",3.33611975221617e-13,-1.26600668115586,0.2,0.506,1.11886784249826e-08,"6","DDX24"
"RNF125.4",3.71416216251673e-13,-2.8260025955069,0.029,0.285,1.24565570606486e-08,"6","RNF125"
"MYL12B.2",4.12882000976085e-13,-1.03670021288795,0.337,0.639,1.38472365487359e-08,"6","MYL12B"
"RSRP1.1",4.48161605045193e-13,-1.24324731100591,0.234,0.546,1.50304439100057e-08,"6","RSRP1"
"CDKN1B.3",5.00832607518561e-13,-4.05800817998745,0.023,0.27,1.67969239909575e-08,"6","CDKN1B"
"TIMP1.4",5.05349383605538e-13,1.35435184375445,0.509,0.293,1.69484076273625e-08,"6","TIMP1"
"TAGAP.2",5.77676183748006e-13,-2.68569827574279,0.08,0.349,1.93741038505406e-08,"6","TAGAP"
"LIMD2.3",6.39830889912327e-13,-2.16298567973402,0.057,0.323,2.14586483858796e-08,"6","LIMD2"
"ARID5B.2",6.54311001872751e-13,-1.64754989333896,0.12,0.403,2.19442823808083e-08,"6","ARID5B"
"TAF1D.3",7.22534510287462e-13,-1.9427043350548,0.143,0.414,2.42323624060209e-08,"6","TAF1D"
"TRBC1.5",7.78964261222555e-13,-5.14065332090213,0.017,0.257,2.6124903392882e-08,"6","TRBC1"
"RHOH.3",9.14710710883637e-13,-2.89118446940634,0.069,0.325,3.06775678216154e-08,"6","RHOH"
"RGCC.3",9.6651111218188e-13,-1.60988771372345,0.149,0.436,3.24148496803559e-08,"6","RGCC"
"TENT5C.3",1.1274340840332e-12,-3.30986702117584,0.017,0.258,3.78118843103054e-08,"6","TENT5C"
"ARPC3",1.27973159649194e-12,1.3037615600587,0.686,0.59,4.29196382831466e-08,"6","ARPC3"
"LY6E.1",1.31412229196128e-12,-1.79036161865339,0.103,0.378,4.40730334277973e-08,"6","LY6E"
"CEBPB.3",1.3427123680948e-12,1.70187212836007,0.543,0.368,4.50318874011633e-08,"6","CEBPB"
"VAMP8.2",1.41744156269498e-12,2.10820771717604,0.4,0.218,4.75381551296642e-08,"6","VAMP8"
"CDC42SE2.3",1.62174252514282e-12,-1.6411162416145,0.126,0.401,5.439000080824e-08,"6","CDC42SE2"
"ARGLU1",1.69259275345874e-12,-1.37811082408491,0.143,0.423,5.67661757654993e-08,"6","ARGLU1"
"SDCBP",2.18533348953483e-12,1.09439024848747,0.669,0.551,7.3291714572019e-08,"6","SDCBP"
"ANAPC16",2.38255435089638e-12,-1.21731729937279,0.16,0.455,7.99061078203628e-08,"6","ANAPC16"
