"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"IL7R",3.55810787297326e-258,2.78937847337228,0.902,0.176,1.19331821843777e-253,"0","IL7R"
"CD2",9.86213733573953e-157,2.52693105915484,0.735,0.198,3.30756361966032e-152,"0","CD2"
"RORA",3.50130602142125e-147,2.70218766690146,0.686,0.186,1.17426801346426e-142,"0","RORA"
"ITK",6.76496097864671e-138,2.67845595675639,0.599,0.124,2.26883261301853e-133,"0","ITK"
"CCR6",6.65174308307563e-130,4.54897947814836,0.357,0.025,2.2308615952019e-125,"0","CCR6"
"CD40LG",9.98555805973186e-128,5.03345115089738,0.3,0.008,3.34895646207287e-123,"0","CD40LG"
"CD3E",5.37383396720772e-127,1.88774095459959,0.732,0.216,1.80227643592213e-122,"0","CD3E"
"TRAC",5.90264277864452e-122,1.95295396936172,0.696,0.2,1.9796283351018e-117,"0","TRAC"
"CD3D",5.90150030481159e-120,1.79171995507124,0.737,0.217,1.97924517222771e-115,"0","CD3D"
"SPOCK2",7.70258332591604e-117,2.2672164901411,0.659,0.208,2.58329239584572e-112,"0","SPOCK2"
"CTLA4",7.51866593998838e-111,4.37720402672067,0.306,0.02,2.5216101829533e-106,"0","CTLA4"
"FYB1",6.30677256233001e-99,1.7752465659123,0.685,0.253,2.11516538195424e-94,"0","FYB1"
"CD4",3.98088671494716e-94,2.4474759504258,0.345,0.044,1.33510978645898e-89,"0","CD4"
"ICOS",1.80359572795572e-92,3.43459422634936,0.325,0.04,6.04889935241788e-88,"0","ICOS"
"LTB",3.44472169973044e-91,2.31079417141935,0.618,0.225,1.15529076365559e-86,"0","LTB"
"STK4",9.6324382108803e-91,1.403912376941,0.868,0.485,3.23052712716503e-86,"0","STK4"
"IKZF1",2.13778940523794e-87,1.78673066738582,0.666,0.264,7.16971810728701e-83,"0","IKZF1"
"CHN1",2.8337319384824e-87,3.96366527506189,0.257,0.02,9.50377017528229e-83,"0","CHN1"
"TNFAIP3",2.15465194169302e-85,1.21262108517647,0.88,0.46,7.22627168205006e-81,"0","TNFAIP3"
"TRAT1",2.04574510152815e-84,2.85027464126925,0.371,0.069,6.8610199215051e-80,"0","TRAT1"
"CD6",6.69742023380102e-82,2.67764124833951,0.384,0.077,2.24618079801218e-77,"0","CD6"
"IL32",5.14011467895733e-76,1.3865594418499,0.761,0.351,1.72389166102871e-71,"0","IL32"
"CD3G",1.88683074522919e-75,1.64855245813043,0.536,0.165,6.32805295334967e-71,"0","CD3G"
"TRBC2",2.47775888050459e-72,1.682654520058,0.626,0.265,8.30990773343628e-68,"0","TRBC2"
"PTPRC",1.30662045074577e-71,1.05107553611699,0.919,0.539,4.38214366771116e-67,"0","PTPRC"
"LEPROTL1",1.59973178143664e-70,1.24909415818388,0.729,0.339,5.36518044858219e-66,"0","LEPROTL1"
"CD52",2.17469251505455e-70,1.28922749571676,0.775,0.389,7.29348375698995e-66,"0","CD52"
"PBXIP1",2.89671504417427e-68,1.98600133012671,0.507,0.177,9.71500291515166e-64,"0","PBXIP1"
"SARAF",1.57900239069488e-67,1.14450303311382,0.883,0.592,5.29565821791248e-63,"0","SARAF"
"MGAT4A",1.12403407451462e-65,2.1439937790604,0.42,0.121,3.76978547910714e-61,"0","MGAT4A"
"GPR171",9.37547668150455e-65,2.38761907856439,0.388,0.103,3.144347369443e-60,"0","GPR171"
"AC058791.1",3.07971170054669e-64,1.6866885777066,0.639,0.301,1.03287371012935e-59,"0","AC058791.1"
"CD28",3.21904215355102e-64,2.61488524595615,0.281,0.048,1.07960235745794e-59,"0","CD28"
"RCAN3",1.05681130464877e-62,2.06496507645759,0.409,0.117,3.54433375353105e-58,"0","RCAN3"
"ETS1",1.32325033127667e-60,1.14279622417246,0.802,0.454,4.43791696103568e-56,"0","ETS1"
"YBX3",1.98822377310409e-59,-3.42856364421916,0.057,0.4,6.6681048902365e-55,"0","YBX3"
"PIK3IP1",2.8537437438792e-59,1.39066256127893,0.648,0.31,9.57088576822207e-55,"0","PIK3IP1"
"CLEC2D",3.98520188386732e-59,1.64338654476298,0.559,0.225,1.33655700781142e-54,"0","CLEC2D"
"ODF2L",2.66037990011015e-57,1.89352022642096,0.496,0.197,8.92238210898943e-53,"0","ODF2L"
"IFITM3",1.26522678012669e-55,-5.35018221681925,0.04,0.356,4.2433175751889e-51,"0","IFITM3"
"FKBP5",5.36358090428357e-55,1.16911438502704,0.719,0.406,1.79883776367862e-50,"0","FKBP5"
"AAK1",9.56037013941157e-55,1.6519261626231,0.534,0.232,3.20635693735585e-50,"0","AAK1"
"BCL11B",1.32687966541129e-54,2.42959067415971,0.314,0.077,4.45008902185639e-50,"0","BCL11B"
"PAG1",1.9681566270682e-54,2.16554094628471,0.309,0.073,6.60080369586134e-50,"0","PAG1"
"PDE3B",3.49531070766301e-54,2.0141896085401,0.372,0.11,1.17225730513602e-49,"0","PDE3B"
"AC016831.5",2.92963660539783e-52,1.70499873911852,0.529,0.236,9.82541524718324e-48,"0","AC016831.5"
"CD63",3.58798183287411e-52,-2.18799700958791,0.391,0.645,1.20333734710932e-47,"0","CD63"
"CD96",3.83340477922406e-52,1.77337725596523,0.458,0.169,1.28564729485617e-47,"0","CD96"
"RNF19A",3.86995817218346e-52,1.35417923658269,0.639,0.323,1.29790657178689e-47,"0","RNF19A"
"KLRB1",1.11791290252995e-50,1.91342201654419,0.415,0.147,3.74925629250496e-46,"0","KLRB1"
"CRYBG1",1.96764648157497e-50,1.63149542342816,0.555,0.258,6.59909276990614e-46,"0","CRYBG1"
"OXNAD1",1.0402667434299e-49,1.92268461545778,0.347,0.102,3.4888466041152e-45,"0","OXNAD1"
"TRBC1",6.10094623454686e-49,1.64513639361793,0.453,0.177,2.04613534814233e-44,"0","TRBC1"
"PRDM1",1.03678981065661e-48,1.78703933848332,0.471,0.194,3.47718566698014e-44,"0","PRDM1"
"RBPJ",1.26393100094533e-48,1.81517437319124,0.461,0.192,4.23897179097044e-44,"0","RBPJ"
"FTL",1.6140779726737e-48,-1.9829444212339,0.87,0.932,5.41329470475306e-44,"0","FTL"
"CST3",3.68949443430085e-48,-4.55126095900637,0.116,0.407,1.23738264337582e-43,"0","CST3"
"PPP2R5C",9.78491510525371e-47,1.06278628797751,0.727,0.403,3.28166482799999e-42,"0","PPP2R5C"
"FRMD4B",2.02151474900532e-45,2.18331396069985,0.261,0.062,6.77975616521405e-41,"0","FRMD4B"
"FAM107B",6.0601077510758e-45,1.12825173100503,0.583,0.287,2.0324389375558e-40,"0","FAM107B"
"CDC14A",1.29276226233943e-44,2.10561953604434,0.328,0.103,4.33566607543398e-40,"0","CDC14A"
"CNOT6L",6.58520294217166e-44,1.12383597821413,0.675,0.375,2.20854536274553e-39,"0","CNOT6L"
"ANKRD28",1.99391091393113e-43,1.8433785846416,0.422,0.17,6.68717842314221e-39,"0","ANKRD28"
"IGFBP7",5.02393473366866e-43,-5.36403663902309,0.071,0.338,1.68492723097779e-38,"0","IGFBP7"
"EVL",5.49500736814595e-43,1.38299296518739,0.58,0.304,1.84291557112879e-38,"0","EVL"
"GIMAP7",1.31979441102349e-40,1.50467464496381,0.396,0.152,4.42632649569057e-36,"0","GIMAP7"
"CXCR6",2.26169615146585e-40,2.05687821936822,0.273,0.076,7.58527655278616e-36,"0","CXCR6"
"SATB1",3.35023326439644e-40,2.0013529831422,0.311,0.101,1.12360123221328e-35,"0","SATB1"
"ACAP1",4.6053967466665e-40,1.35280204060624,0.553,0.292,1.54455796089701e-35,"0","ACAP1"
"CYTIP",4.8642972296602e-40,1.07250774707448,0.651,0.362,1.63138800488344e-35,"0","CYTIP"
"MARCKS",1.5198687330888e-39,-4.29719838189501,0.032,0.28,5.09733575703322e-35,"0","MARCKS"
"NKG7",3.45127309200131e-39,-4.37629834389182,0.082,0.331,1.1574879695954e-34,"0","NKG7"
"CASP8",5.7575850634101e-39,1.6184603900431,0.404,0.168,1.93097887856648e-34,"0","CASP8"
"ERN1",1.07114656345864e-38,1.95708251568329,0.311,0.104,3.59241134452759e-34,"0","ERN1"
"S100A4",2.15348228493119e-37,1.15039246205691,0.784,0.593,7.22234888720224e-33,"0","S100A4"
"EML4",5.48197858749165e-37,1.24706255683256,0.509,0.255,1.83854597867295e-32,"0","EML4"
"CCL4",6.88942486376819e-37,-2.39770223036008,0.155,0.411,2.31057531081057e-32,"0","CCL4"
"PTGER4",2.47019229097321e-36,1.39680852003733,0.434,0.196,8.28453090546595e-32,"0","PTGER4"
"BCL2",2.87915025024355e-35,1.64382221388714,0.355,0.14,9.65609410926681e-31,"0","BCL2"
"FOXN2",2.89078960819611e-35,2.00433101245696,0.287,0.097,9.69513018796811e-31,"0","FOXN2"
"DOCK10",3.29218370971871e-35,1.7197905549912,0.315,0.112,1.10413257256546e-30,"0","DOCK10"
"KLF6",7.30163340618276e-35,1.05499461778291,0.834,0.61,2.44882181176557e-30,"0","KLF6"
"TOB1",7.4480373146187e-35,1.58400748839528,0.38,0.156,2.49792275457682e-30,"0","TOB1"
"SPARCL1",7.67334825630674e-35,-5.2601574184665,0.041,0.263,2.57348753820015e-30,"0","SPARCL1"
"TTC39C",2.327099338848e-34,2.00230402050343,0.258,0.08,7.80462576262841e-30,"0","TTC39C"
"ABRACL",6.97320193395197e-34,1.36604436822644,0.374,0.155,2.33867246460881e-29,"0","ABRACL"
"JAML",9.9790733127084e-34,1.63471827465583,0.25,0.074,3.34678160761614e-29,"0","JAML"
"HLA-DRA",4.09922467850571e-33,-4.05033163335002,0.252,0.455,1.37479797267724e-28,"0","HLA-DRA"
"HIPK1",7.61462097926714e-33,1.52774164524169,0.355,0.145,2.55379158402661e-28,"0","HIPK1"
"GSN",2.62893552802695e-32,-4.02569288017392,0.086,0.306,8.81692397389677e-28,"0","GSN"
"CELF2",2.65309817437142e-32,1.10423770988384,0.596,0.353,8.89796065720686e-28,"0","CELF2"
"MT2A",7.09970656366307e-32,-2.36035646474828,0.512,0.67,2.38109958732132e-27,"0","MT2A"
"NCK2",8.2101604295502e-32,1.2206382440677,0.414,0.189,2.75352360486255e-27,"0","NCK2"
"GPRIN3",8.38758540945462e-32,1.85750871712564,0.288,0.104,2.81302839462289e-27,"0","GPRIN3"
"ITM2A",2.16753565279622e-31,1.22247299088366,0.475,0.24,7.26948107234798e-27,"0","ITM2A"
"KIAA1551",2.21088945621363e-31,1.08119538298896,0.591,0.352,7.41488105824926e-27,"0","KIAA1551"
"CCNH",4.99221859728398e-31,1.07532712326517,0.552,0.305,1.6742902731571e-26,"0","CCNH"
"CD74",6.36646702183664e-31,-2.69851306918676,0.456,0.605,2.13518570978357e-26,"0","CD74"
"G3BP2",2.25464323176908e-30,1.09890836058195,0.523,0.292,7.56162247070713e-26,"0","G3BP2"
"ZNF831",5.85970082251198e-30,1.94620833943999,0.254,0.086,1.96522646185407e-25,"0","ZNF831"
"SPARC",9.69325005796014e-30,-4.1357037771426,0.07,0.274,3.25092220443867e-25,"0","SPARC"
"HLA-DPB1",3.23224198880032e-29,-2.50022175522242,0.271,0.474,1.08402931820385e-24,"0","HLA-DPB1"
"ATXN1",5.98333260878176e-29,1.37955798390529,0.331,0.136,2.00669009033323e-24,"0","ATXN1"
"LINC00513",8.50920116308483e-29,1.46840747813791,0.357,0.157,2.85381588607539e-24,"0","LINC00513"
"IPCEF1",2.45777251104237e-28,1.8464221071949,0.274,0.102,8.2428774475339e-24,"0","IPCEF1"
"IGFBP4",3.58165341939336e-28,-3.60757545135197,0.078,0.279,1.20121492379614e-23,"0","IGFBP4"
"VSIR",1.31295920380771e-27,1.04801051807453,0.368,0.163,4.40340257773029e-23,"0","VSIR"
"ITGA4",2.45776697260346e-27,1.41454713448912,0.382,0.184,8.24285887271748e-23,"0","ITGA4"
"LCK",3.38120449450547e-27,1.26451379701642,0.355,0.154,1.13398836336724e-22,"0","LCK"
"NKTR",4.07083170778819e-27,1.09045341246478,0.529,0.3,1.365275538158e-22,"0","NKTR"
"FCGRT",4.81735729465441e-27,-3.40802482741589,0.067,0.26,1.6156452894812e-22,"0","FCGRT"
"GSPT1",9.30800111228901e-27,1.14675693517067,0.409,0.201,3.12171741303949e-22,"0","GSPT1"
"METRNL",9.67300753042779e-27,-2.46086254061651,0.141,0.341,3.24413326555487e-22,"0","METRNL"
"PPP1R2",1.42704986919405e-26,1.00692006457437,0.537,0.319,4.78603985130301e-22,"0","PPP1R2"
"HECA",1.43269934027655e-26,1.10198602060848,0.376,0.177,4.80498704741948e-22,"0","HECA"
"PDE4D",2.52860297881985e-26,1.44421808526879,0.312,0.131,8.480428670366e-22,"0","PDE4D"
"CDKN1B",4.58144899352512e-26,1.22291981764141,0.41,0.207,1.53652636344846e-21,"0","CDKN1B"
"NSD3",5.54565976280683e-26,1.00884051139218,0.471,0.259,1.85990337125015e-21,"0","NSD3"
"LPIN2",6.25399483467653e-26,1.41328602000987,0.282,0.112,2.09746478765381e-21,"0","LPIN2"
"SMCHD1",7.84300829840553e-26,1.00042936307579,0.631,0.404,2.63038812311925e-21,"0","SMCHD1"
"PCNX1",2.29418222626707e-25,1.3914296957598,0.292,0.119,7.69422835045448e-21,"0","PCNX1"
"HLA-DRB1",3.61348659596004e-25,-2.57496957275905,0.266,0.438,1.21189113455308e-20,"0","HLA-DRB1"
"PLK3",4.47661136119492e-25,1.19751021329412,0.342,0.155,1.50136591831755e-20,"0","PLK3"
"ZEB2",7.38191524207407e-25,-1.41169221262748,0.16,0.375,2.4757467338868e-20,"0","ZEB2"
"EMB",1.0447790393537e-24,1.10473060640078,0.445,0.241,3.50397994218442e-20,"0","EMB"
"RHOB",1.34325151997449e-24,-2.84760685982454,0.074,0.26,4.50499694769043e-20,"0","RHOB"
"OGT",1.44110662426317e-24,1.2379403329197,0.385,0.193,4.83318339645383e-20,"0","OGT"
"CORO1B",1.48758877222442e-24,1.2042711441945,0.281,0.113,4.98907522428626e-20,"0","CORO1B"
"CEBPD",2.78614248291017e-24,-2.17935645986582,0.19,0.385,9.34416465918412e-20,"0","CEBPD"
"LITAF",3.01804004692533e-24,-2.00806168172486,0.242,0.443,1.01219027093782e-19,"0","LITAF"
"FTH1",1.02077871613046e-23,-1.25030952121657,0.938,0.97,3.42348765815834e-19,"0","FTH1"
"LAPTM4A",1.33412460379016e-23,-1.9307559373483,0.189,0.382,4.47438709619144e-19,"0","LAPTM4A"
"SYNE2",2.35800080615058e-23,1.03934869042114,0.528,0.317,7.90826310366781e-19,"0","SYNE2"
"HLA-DPA1",1.31083804615456e-22,-2.3395924843916,0.32,0.478,4.39628863919318e-18,"0","HLA-DPA1"
"GLIPR1",1.41806061615686e-22,1.15235745189942,0.42,0.232,4.75589169446689e-18,"0","GLIPR1"
"CTSW",1.51287894611951e-22,-2.24552920052298,0.117,0.297,5.07389340949562e-18,"0","CTSW"
"RBL2",2.84817057331191e-22,1.30926593562634,0.284,0.124,9.55219446877349e-18,"0","RBL2"
"HLA-DQA1",3.26629178156441e-22,-3.09329069965247,0.106,0.277,1.09544893770107e-17,"0","HLA-DQA1"
"FAM129A",3.27296969486495e-22,1.1615317973491,0.357,0.18,1.09768857626381e-17,"0","FAM129A"
"GSTP1",2.01936407923835e-21,-1.44992948607978,0.328,0.498,6.77254324894958e-17,"0","GSTP1"
"NDFIP1",3.07291225456643e-21,1.20827264628013,0.387,0.212,1.03059331193649e-16,"0","NDFIP1"
"CYTH1",5.9561137777869e-21,1.24079842329383,0.368,0.197,1.99756143879417e-16,"0","CYTH1"
"JMY",1.05791224697221e-20,1.47239122391111,0.284,0.13,3.54802609389539e-16,"0","JMY"
"PARP8",1.08771202891861e-20,1.06511871912896,0.409,0.223,3.64796860258725e-16,"0","PARP8"
"MAFF",2.80600290326947e-20,-2.32022130317895,0.092,0.259,9.41077253698515e-16,"0","MAFF"
"NR3C1",6.70678810998324e-20,1.07983619294046,0.422,0.246,2.24932259632618e-15,"0","NR3C1"
"NPC2",2.29963389154299e-19,-2.52047683665908,0.114,0.277,7.71251214545689e-15,"0","NPC2"
"PSAP",5.85269823441505e-19,-2.33411098221525,0.201,0.361,1.96287793385812e-14,"0","PSAP"
"RAC1",6.9841139783414e-19,-1.62495299397075,0.247,0.409,2.34233214605614e-14,"0","RAC1"
"HLA-DQB1",7.02930750047526e-19,-2.45309631065008,0.179,0.332,2.35748914950939e-14,"0","HLA-DQB1"
"CFD",7.9905726124952e-19,-4.12505310577769,0.185,0.339,2.67987824277864e-14,"0","CFD"
"CITED2",1.60466907970924e-18,1.4338678170954,0.341,0.182,5.38173915952884e-14,"0","CITED2"
"TANK",3.81771098859154e-18,1.00316436549074,0.349,0.191,1.28038391135383e-13,"0","TANK"
"STK24",3.85693545196229e-18,1.18147226974105,0.25,0.113,1.29353901187911e-13,"0","STK24"
"EVI2A",5.48792233697071e-18,1.05312208032557,0.3,0.149,1.84053939337324e-13,"0","EVI2A"
"CD81",5.60263693831633e-18,-1.09007792316199,0.552,0.644,1.87901237637253e-13,"0","CD81"
"PTPN22",5.64114319219916e-18,1.10118078710074,0.357,0.197,1.89192660379975e-13,"0","PTPN22"
"MAML2",7.07350635062282e-18,1.30250963794784,0.277,0.134,2.37231255987188e-13,"0","MAML2"
"TCF7",8.29350458235463e-18,1.3132746803805,0.254,0.117,2.7814755668301e-13,"0","TCF7"
"GADD45B",2.53455338330253e-17,-1.20991218929149,0.323,0.479,8.50038513692004e-13,"0","GADD45B"
"BTG3",3.30845593808879e-17,1.17447264387009,0.29,0.145,1.10958995251622e-12,"0","BTG3"
"DBI",3.31187950966865e-17,-1.45749668349579,0.328,0.47,1.11073814995267e-12,"0","DBI"
"COL3A1",3.92891342202273e-17,-3.47170926541334,0.174,0.325,1.31767898347798e-12,"0","COL3A1"
"MGP",1.21059970223056e-16,-3.73081502364819,0.273,0.413,4.06010928134085e-12,"0","MGP"
"SEMA4D",1.35588576636445e-16,1.24596940363085,0.266,0.129,4.54736968323309e-12,"0","SEMA4D"
"ANKRD44",2.71212989894883e-16,1.15088439022482,0.345,0.196,9.09594125509457e-12,"0","ANKRD44"
"BRI3",3.18842627605058e-16,-1.85131782969356,0.158,0.308,1.06933440446184e-11,"0","BRI3"
"GZMK",3.97592435707149e-16,-2.00116029863884,0.125,0.267,1.33344551087463e-11,"0","GZMK"
"STAT4",4.66904975241481e-16,1.02895380150052,0.342,0.189,1.56590590596488e-11,"0","STAT4"
"RAB11FIP1",3.36526292056899e-15,1.15838615671159,0.277,0.147,1.12864187830043e-10,"0","RAB11FIP1"
"EGR1",3.80310295484458e-15,-1.68709322531257,0.212,0.356,1.27548466899577e-10,"0","EGR1"
"COL1A1",5.63113695978434e-15,-3.83106306948002,0.162,0.3,1.88857071357247e-10,"0","COL1A1"
"MALT1",6.86685940179252e-15,1.17530653034543,0.257,0.129,2.30300730617318e-10,"0","MALT1"
"AC016831.7",1.77070026938058e-14,1.11516008034628,0.323,0.187,5.93857456344859e-10,"0","AC016831.7"
"TBCC",1.94181296983125e-14,1.05759125245196,0.277,0.147,6.51245233822004e-10,"0","TBCC"
"ADAM10",2.54220115749538e-14,1.06987849831323,0.261,0.134,8.52603424200801e-10,"0","ADAM10"
"FABP4",3.282869140739e-14,-5.77307652452168,0.177,0.3,1.10100865242104e-09,"0","FABP4"
"DIAPH1",3.70964336757445e-14,1.07395642095638,0.311,0.176,1.24414019261712e-09,"0","DIAPH1"
"SEPT1",4.08968573375232e-14,1.02159255504766,0.274,0.143,1.37159880138585e-09,"0","SEPT1"
"SNX3",4.64954584867652e-14,-1.42729365073607,0.231,0.374,1.55936468672913e-09,"0","SNX3"
"LUM",2.10962585037934e-13,-3.15581657578043,0.163,0.289,7.07526317700225e-09,"0","LUM"
"P2RY10",5.69544915412459e-13,1.04226550976643,0.26,0.14,1.9101397373103e-08,"0","P2RY10"
"COL1A2",9.52292928632006e-13,-3.33818706075404,0.216,0.33,3.19380002404602e-08,"0","COL1A2"
"AREG",1.08129175981462e-12,-1.95844581196724,0.135,0.261,3.62643630406626e-08,"0","AREG"
"TMC6",1.22889513702353e-12,1.04666523573485,0.263,0.143,4.1214685105495e-08,"0","TMC6"
"GPCPD1",1.2447729616904e-12,1.13999107756893,0.263,0.145,4.17471955891726e-08,"0","GPCPD1"
"DDX39B",2.77523642438113e-12,1.06967037869148,0.266,0.148,9.30758792008943e-08,"0","DDX39B"
"DCN",6.1686387550247e-12,-3.67493560371556,0.241,0.353,2.06883806566018e-07,"0","DCN"
"TACC1",1.51239820438725e-11,-1.39316961861537,0.173,0.301,5.07228109787396e-07,"0","TACC1"
"MGST3",8.48087605110413e-11,-1.69706006234719,0.246,0.351,2.8443162100193e-06,"0","MGST3"
"DSTN",1.32880612839816e-10,-1.75015042353208,0.2,0.308,4.45654999342175e-06,"0","DSTN"
"POMP",1.65453223877956e-10,-1.15043648262984,0.301,0.408,5.5489702224189e-06,"0","POMP"
"IFITM2",3.25485519616133e-10,-1.59718533213212,0.433,0.5,1.09161333568859e-05,"0","IFITM2"
"BST2",7.25477160040805e-10,-1.49409347341949,0.281,0.374,2.43310529934485e-05,"0","BST2"
"FKBP1A",2.19908117425982e-09,-1.51390536738849,0.231,0.332,7.37527844223258e-05,"0","FKBP1A"
"CLTA",5.57094887858098e-09,-1.21669538699656,0.198,0.302,0.000186838483489849,"0","CLTA"
"TPM4",7.60214495611625e-09,-1.17898247428119,0.241,0.345,0.000254960737538227,"0","TPM4"
"LGALS1",5.77929829670997e-08,-1.07269286397349,0.441,0.519,0.00193826106275059,"0","LGALS1"
"IGKC",6.72498721528078e-08,-3.9583161488039,0.276,0.358,0.00225542621226087,"0","IGKC"
"KDM6B",1.26753400664065e-07,-1.12745988100598,0.231,0.327,0.00425105555147142,"0","KDM6B"
"GABARAPL2",1.46271180240375e-07,-1.0965618666695,0.266,0.351,0.0049056428429017,"0","GABARAPL2"
"RTN4",1.71343958122235e-07,-1.0570989711452,0.261,0.348,0.0057465336675035,"0","RTN4"
"YWHAE",2.49710718302549e-07,-1.22977441837356,0.216,0.302,0.00837479807043089,"0","YWHAE"
"CTSC",4.02541805702098e-07,-1.24583332973998,0.184,0.274,0.013500447079637,"0","CTSC"
"LAMTOR5",5.89633732780081e-07,-1.08291242458656,0.23,0.313,0.0197751361299783,"0","LAMTOR5"
"CTSS",1.05972724725521e-06,-1.46538468167472,0.236,0.321,0.0355411324184454,"0","CTSS"
"TUBB",1.7389569908947e-06,-1.45698674800823,0.198,0.273,0.0583211395606266,"0","TUBB"
"CEBPB",3.50082747459737e-06,-1.04185557142976,0.323,0.396,0.117410751843047,"0","CEBPB"
"GNG5",5.55524389068139e-06,-1.04785005081653,0.22,0.296,0.186311769605672,"0","GNG5"
"FABP5",7.43346816784424e-06,-2.32924108410214,0.192,0.26,0.24930365541316,"0","FABP5"
"NOP10",1.89055958069845e-05,-1.1011131401395,0.193,0.264,0.634055872174647,"0","NOP10"
"ANXA2",4.0908113840277e-05,-1.16317383682547,0.391,0.432,1,"0","ANXA2"
"MT1X",5.61354578720251e-05,-1.18841343047403,0.204,0.265,1,"0","MT1X"
"SOD2",8.36471389868265e-05,-2.81735651240524,0.269,0.324,1,"0","SOD2"
"SOCS3",0.000346947565510546,-1.65831046658615,0.336,0.362,1,"0","SOCS3"
"NAMPT",0.000350988293740779,-2.12277855085806,0.304,0.354,1,"0","NAMPT"
"CTSD",0.00144915351023612,-1.01725986119271,0.277,0.317,1,"0","CTSD"
"CD8A",8.57283315768756e-301,4.52336972509872,0.699,0.032,2.87515678442525e-296,"1","CD8A"
"GZMK.1",1.13684181844128e-283,3.83912501371309,0.824,0.098,3.81274009068837e-279,"1","GZMK"
"CCL5",3.8465114890118e-262,2.96711057111728,0.966,0.227,1.29004302318478e-257,"1","CCL5"
"CD8B",1.05341811151869e-232,5.36530077177229,0.515,0.015,3.53295366241139e-228,"1","CD8B"
"DUSP2",3.78242874614714e-166,2.12856512164036,0.935,0.341,1.26855095288283e-161,"1","DUSP2"
"NKG7.1",9.1461230616548e-165,1.21303177646912,0.816,0.148,3.06742675241779e-160,"1","NKG7"
"CST7",1.16776253770982e-160,2.11970435723622,0.838,0.229,3.91644199897121e-156,"1","CST7"
"CD3D.1",2.09067996383845e-155,1.93034053135647,0.851,0.22,7.01172246272141e-151,"1","CD3D"
"GZMA",9.10507623652219e-141,2.07249577953545,0.762,0.184,3.05366046820481e-136,"1","GZMA"
"CRTAM",3.50363281485796e-140,4.25642589842053,0.4,0.03,1.17504837344706e-135,"1","CRTAM"
"CTSW.1",1.34016375021379e-136,1.80639035154033,0.717,0.148,4.49464118546702e-132,"1","CTSW"
"HCST",2.58983792462515e-135,1.73525712712431,0.909,0.341,8.68579843160784e-131,"1","HCST"
"CD3E.1",1.68884836068918e-130,1.7936108461178,0.816,0.227,5.66405963207937e-126,"1","CD3E"
"IL32.1",3.11803032307025e-124,1.59967947526645,0.913,0.34,1.0457250097513e-119,"1","IL32"
"RUNX3",1.81460004989375e-123,1.84777185355585,0.794,0.249,6.08580564733366e-119,"1","RUNX3"
"TRGC2",5.14485823234555e-121,3.61774372584527,0.384,0.037,1.72548255396405e-116,"1","TRGC2"
"LYAR",4.99563772105643e-119,2.69815161181239,0.511,0.09,1.6754369788879e-114,"1","LYAR"
"GZMM",3.3967087962154e-114,1.79630546903581,0.727,0.207,1.13918819607472e-109,"1","GZMM"
"KLRG1",8.48098408277336e-113,3.37958149297489,0.362,0.034,2.84435244168053e-108,"1","KLRG1"
"RGS1",1.6447854870107e-109,2.18437577163401,0.691,0.216,5.5162815663365e-105,"1","RGS1"
"CD3G.1",2.41195441908511e-109,2.02443538007136,0.64,0.162,8.08921273072765e-105,"1","CD3G"
"TRAC.1",1.37255457901337e-107,1.72337233677849,0.739,0.219,4.60327354709503e-103,"1","TRAC"
"CXCR4",2.22559730094907e-103,1.15628822738902,0.99,0.59,7.46420822792298e-99,"1","CXCR4"
"PIK3R1",3.19311030966336e-101,1.64657456787427,0.828,0.34,1.0709053356549e-96,"1","PIK3R1"
"SYTL3",3.39762133342788e-98,1.50337569647829,0.754,0.248,1.13949424280504e-93,"1","SYTL3"
"CCL4.1",9.25091579894773e-92,1.83697277319931,0.747,0.26,3.10257214065109e-87,"1","CCL4"
"PTPRC.1",3.06030576101853e-89,1.15787904232089,0.978,0.547,1.0263653461304e-84,"1","PTPRC"
"DTHD1",3.82311556761907e-87,3.28280372470786,0.289,0.028,1.28219649906808e-82,"1","DTHD1"
"ZFP36L2",4.27231104287803e-86,1.04775182157055,0.99,0.735,1.43284767756043e-81,"1","ZFP36L2"
"TUBA4A",3.64575509249184e-84,1.75017431499654,0.715,0.291,1.22271334291991e-79,"1","TUBA4A"
"PPP2R5C.1",5.71286390939953e-84,1.33533462433871,0.834,0.397,1.91598029793441e-79,"1","PPP2R5C"
"ARL4C",1.37286389902506e-81,1.37827364261382,0.796,0.327,4.60431094455026e-77,"1","ARL4C"
"TRBC2.1",3.47538643604079e-78,1.55998623718052,0.695,0.27,1.16557510291936e-73,"1","TRBC2"
"SLA",2.64174651047825e-72,1.32780750669823,0.741,0.301,8.85988944684195e-68,"1","SLA"
"FYN",6.88868998873893e-71,1.2222716656359,0.76,0.34,2.31032884842326e-66,"1","FYN"
"LEPROTL1.1",2.02349942502841e-67,1.32259381480123,0.758,0.355,6.78641237166029e-63,"1","LEPROTL1"
"KLRD1",8.7534784681892e-67,1.41511019144431,0.481,0.125,2.93574160866129e-62,"1","KLRD1"
"CD2.1",6.31102775545975e-66,1.04095837684149,0.681,0.242,2.11659248862609e-61,"1","CD2"
"DUSP4",1.85504909428579e-65,2.51250432218621,0.329,0.063,6.22146365241568e-61,"1","DUSP4"
"SRSF7",4.00843388492019e-65,1.09365077073372,0.905,0.563,1.34434855632453e-60,"1","SRSF7"
